item_type,title,creators,first_name,last_name,ean_isbn13,upc_isbn10,description,publisher,publish_date,group,tags,notes,price,length,number_of_discs,number_of_players,age_group,ensemble,aspect_ratio,esrb,rating,review,review_date,status,began,completed,added,copies
book,"Evangelho de São Lucas, O","Scott Hahn, Curtis Mitch",Scott,Hahn,9788584910021,8584910026,"Este livro conduz o leitor por um profundo estudo do evangelho de Lucas, usando como guia o próprio texto bíblico e as diretrizes da própria Igreja Católica para sua interpretação. Cada página traz várias observações e oferece novos esclarecimentos e comentários dos renomados professores Scott Hahn e Curtis Mitch, especialistas em estudo bíblico, além de algumas interpretações feitas pelos Padres da Igreja, há muito consagradas. Essas notas de estudo ajudam a tornar explícito aquilo que São Lucas freqüentemente toma por pressuposto, além de fornecerem também preciosas informações históricas, culturais, geográficas e teológicas, pertinentes ao evangelho. Neste estudo ainda incluem-se quadros, ensaios sobre determinados tópicos e estudos específicos sobre determinadas palavras há em cada página uma seção de referências facilmente utilizável e, para cada capítulo do evangelho, são propostas algumas questões para aprofundar o entendimento pessoal da santa Palavra de Deus. Há ainda um ensaio introdutório que abarca questões de autenticidade, data, destinatários, estrutura e temas do evangelho, além de um esquema de sua estrutura e diversos mapas.[...]",Ecclesiae,2015-01-01,"Cadernos de Estudo Bíblico","assunto.bíblia, cadernos de estudo bíblico",,,,,,,,,,,,," Completed"," 2021-12-11"," 2022-02-05",2018-07-20,1
book,"Livro dos Atos dos Apóstolos, O","Scott Hahn, Curtis Mitch",Scott,Hahn,9788584910229,8584910220,"Este livro conduz o leitor por um profundo estudo do livro dos Atos dos Apostolos, usando como guia o proprio texto biblico e as diretrizes da propria Igreja Catolica para sua interpretacao. Cada pagina traz varias observacoes e oferece novos esclarecimentos e comentarios dos renomados professores Scott Hahn e Curtis Mitch, especialistas em estudo biblico, alem de algumas interpretacoes feitas pelos Padres da Igreja, ha muito consagradas. Essas notas de estudo ajudam a tornar explicito aquelo que o autor do Atos dos Apostolos frequentemente toma por pressuposto, alem de fornecerem tambem preciosas informacoes historicas, culturais, geograficas e teologicas, pertinentes ao Velho Testamento.Neste estudo ainda incluem-se quadros, ensaios sobre determinados topicos e estudos especificos sobre determinadas palavras ha em cada pagina uma secao de referencias facilmente utilizavel e, para cada capitulo, sao propostas algumas questoes para aprofundar o entendimento pessoal da santa Palavra de Deus. Ha ainda um ensaio introdutorio que abarca questoes de autenticidade, data, destinatarios, estrutura e temas do livro dos Atos dos Apostolos, alem de um esquema de sua estrutura e diversos mapas.",Ecclesiae,2016-01-01,"Cadernos de Estudo Bíblico","assunto.bíblia, cadernos de estudo bíblico",,,,,,,,,,,,," Completed"," 2022-02-06"," 2022-04-11",2018-07-20,1
book,"A Carta de São Paulo aos Romanos","Scott Hahn, Curtis Mitch",Scott,Hahn,9788584910373,8584910379,"A coleção Cadernos de Estudo Bíblico que a Editora Ecclesiae organiza para os leitores é projetada para conduzi-los pela Escritura dentro das diretrizes da Igreja - fidelidade ao cânon, à tradição e ao credo. São os princípios interpretativos da Igreja, portanto, que dão forma unificada às partes deste livro, o que faz com que o estudo seja preciso e bastante recompensador. Os autores são eminentes mestres e doutores em Teologia e Sagrada Escritura: Scott Hahn também é autor de uma série de outros best-sellers, como O banquete do Cordeiro e Todos os caminhos levam a Roma. Neste volume, dá-se sequência aos comentários ao Novo Testamento com a análise da carta de São Paulo aos romanos.",Ecclesiae,2016-01-01,"Cadernos de Estudo Bíblico","assunto.bíblia, cadernos de estudo bíblico",,,,,,,,,,,,," Completed"," 2022-06-24"," 2022-07-26",2018-07-20,1
book,"Cartas de São Paulo aos Coríntios, As","Scott Hahn, Curtis Mitch",Scott,Hahn,9788584910526,8584910522,"A coleção Cadernos de Estudo Bíblico que a Editora Ecclesiae organiza para os leitores é projetada para conduzi-los pela Escritura dentro das diretrizes da Igreja - fidelidade ao cânon, à tradição e ao credo. São os princípios interpretativos da Igreja, portanto, que dão forma unificada às partes deste livro, o que faz com que o estudo seja preciso e bastante recompensador.   Os autores são eminentes mestres e doutores em Teologia e Sagrada Escritura: Scott Hahn também é autor de uma série de outros best-sellers, como O banquete do Cordeiro e Todos os caminhos levam a Roma.   Neste volume, dá-se seqüência aos comentários ao Novo Testamento com a análise das cartas de São Paulo aos coríntios.",Ecclesiae,2017-01-01,"Cadernos de Estudo Bíblico","assunto.bíblia, cadernos de estudo bíblico",,,,,,,,,,,,," Completed"," 2022-07-27"," 2022-09-26",2018-07-20,1
book,"Cartas de São Paulo aos Gálatas e aos Efésios, As","Scott Hahn, Curtis Mitch",Scott,Hahn,9788584910687,8584910689,"A coleção Cadernos de Estudo Bíblico que a Editora Ecclesiae organiza para os leitores é projetada para conduzi-los pela Escritura dentro das diretrizes da Igreja - fidelidade ao cânon, à tradição e ao credo. São os princípios interpretativos da Igreja, portanto, que dão forma unificada às partes deste livro, o que faz com que o estudo seja preciso e bastante recompensador. Os autores são eminentes mestres e doutores em Teologia e Sagrada Escritura: Scott Hahn também é autor de uma série de outros best-sellers, como O banquete do Cordeiro e Todos os caminhos levam a Roma. Neste volume, dá-se sequência aos comentários ao Novo Testamento com a análise das cartas de São Paulo aos gálatas e aos efésios.",Ecclesiae,2017-01-01,"Cadernos de Estudo Bíblico","assunto.bíblia, cadernos de estudo bíblico",,,,,,,,,,,,," Completed"," 2022-09-27"," 2022-10-23",2018-07-20,1
book,"Panorama da História da Bíblia","José M. de Medeiros",José,Medeiros,9788534906937,,,Paulus,1987-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"Manual de Dogmática - Volume I","Theodor Schneider (org.)",Theodor,Schneider,9788532622945,8532622941,"Este primeiro volume do ""manual de dogmática"" apresenta de maneira básica e segura a dogmática em diversos tratados (prolegômenos, Doutrina sobre Deus, Doutrina da Criação, Cristologia e Pneumatologia). Cada tratado segue a mesma estrutura facilitand o o estudo: 1) introdução; 2) fundamentos bíblicos; 3) abordagem histórico-dogmática; 4) reflexão sistemática. Indicado a professores e estudantes de Teologia.",Vozes,2012-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"Manual de Dogmática - Volume II","Theodor Schneider (org.)",Theodor,Schneider,9788532623973,8532623972,,VOZES,2012-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"Documento de Aparecida",,,,9788534927741,853492774X,,"Edicoes Cnbb",,,,,,,,,,,,,,,,,,,2018-07-20,1
book,"Compêndio da Doutrina Social da Igreja","Pontifício Conselho Justiça e Paz",Pontifício,"Paz""",9788535628753,8535628754,"Após cinco anos de reflexão, estudo e trabalho intelectual intenso, a Igreja Católica disponibiliza aos católicos, demais cristãos e a todas as pessoas comprometidas com a humanização e promoção do bem social de todos, a Doutrina Social da Igreja, elaborada pelo Pontifício Conselho Justiça e Paz.   De acordo com o Cardeal Renato Raffaele Martino, presidente do Pontifício Conselho, a maior dificuldade enfrentada foi a de que se tratou de um documento sem nenhum precedente na história da Igreja. Ademais foi necessária muita reflexão para ordenar algumas complexas questões epistemológicas relativas à natureza mesma do corpus desta doutrina; para dar ao documento uma dimensão unitária e universal, apesar dos numerosos aspectos e das infinitas diversidades em que se declina a realidade social no e do mundo; bem como para oferecer um ensinamento que resistisse ao desgaste do tempo, numa fase histórica caracterizada pela fugacidade e rapidez das mudanças sociais, econômicas e política s da contemporaneidade.   O Compêndio se estrutura em: Introdução e três partes: - os pressupostos fundamentais da doutrina social da Igreja; - conteúdos e temas clássicos da doutrina social; - indicações para o uso da doutrina social na prática pastoral e na vida dos cristãos. A conclusão, que tem como título ""Para uma civilização do amor"", manifesta o entendimento de fundo de todo o documento.",Paulinas,2011-01-01,,,,,,,,,,,,,,,,,,2018-07-20,1
